Tm,Season,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,2022,17,561,372,3942,26,8.3,2297,1793,98,16.30%,23,3.80%,44,7.80%,21,88,14.60%,54
Buffalo Bills,2022,16,570,362,3433,21,7.5,2276,1901,124,19.40%,46,7.20%,56,9.80%,40,142,22.20%,77
Carolina Panthers,2022,17,580,383,3868,25,7.9,2434,1664,186,29.20%,41,6.40%,50,8.60%,35,126,19.80%,72
Chicago Bears,2022,17,481,323,3716,22,7.8,1973,1867,97,18.20%,45,8.40%,20,4.20%,20,85,15.90%,74
Cincinnati Bengals,2022,16,559,329,3665,17,8.5,2575,2025,124,20.40%,38,6.30%,68,12.20%,30,136,22.40%,69
Cleveland Browns,2022,17,519,315,3336,20,7.8,1895,1647,130,22.90%,42,7.40%,27,5.20%,34,103,18.20%,76
Indianapolis Colts,2022,17,537,365,3569,25,7.1,1775,2061,100,16.40%,53,8.70%,37,6.90%,44,134,22.00%,85
Arizona Cardinals,2022,17,593,414,3915,29,5.7,1622,2559,225,34.50%,48,7.40%,63,10.60%,36,147,22.50%,83
Dallas Cowboys,2022,17,550,345,3415,23,7.7,2252,2080,162,25.60%,54,8.50%,54,9.80%,54,162,25.60%,64
Denver Broncos,2022,17,605,392,3574,20,6.7,1741,2040,219,32.90%,40,6.00%,47,7.80%,36,123,18.50%,98
Detroit Lions,2022,17,560,353,4179,26,9.7,2777,1634,200,31.20%,61,9.50%,49,8.80%,39,149,23.20%,63
Green Bay Packers,2022,17,478,314,3349,22,7.2,1927,1589,174,32.50%,42,7.90%,50,10.50%,34,126,23.60%,59
Houston Texans,2022,17,522,336,3558,15,7.7,2023,1728,95,16.00%,38,6.40%,42,8.00%,39,119,20.10%,90
Jacksonville Jaguars,2022,17,601,385,4055,25,7.6,2424,2295,155,23.10%,56,8.40%,77,12.80%,35,168,25.10%,82
Kansas City Chiefs,2022,17,619,408,3756,33,7.2,2559,2376,173,24.20%,59,8.30%,64,10.30%,55,178,24.90%,82
Miami Dolphins,2022,17,624,416,3992,27,8.2,2510,2124,233,33.30%,58,8.30%,54,8.70%,40,152,21.70%,78
Minnesota Vikings,2022,17,617,408,4515,23,8.1,2646,2390,131,18.90%,49,7.10%,48,7.80%,38,135,19.50%,64
New Orleans Saints,2022,17,536,322,3134,17,8,1753,1660,102,16.80%,29,4.80%,29,5.40%,48,106,17.50%,74
New England Patriots,2022,17,596,364,3681,28,8.8,2290,1713,148,21.90%,73,10.80%,36,6.00%,54,163,24.10%,73
New York Giants,2022,17,568,349,3638,21,8.4,2271,2061,253,39.70%,48,7.50%,66,11.60%,41,155,24.30%,49
New York Jets,2022,17,556,347,3220,15,8.2,1766,1757,94,14.90%,39,6.20%,76,13.70%,45,160,25.40%,68
Tennessee Titans,2022,17,671,439,4671,29,7.9,2807,2117,133,18.10%,57,7.70%,60,8.90%,39,156,21.20%,86
Philadelphia Eagles,2022,17,556,350,3057,22,7.1,2051,1906,146,22.10%,48,7.30%,50,9.00%,70,168,25.50%,68
Pittsburgh Steelers,2022,17,542,332,3779,29,9,2375,1691,195,31.50%,28,4.50%,40,7.40%,40,108,17.40%,68
Las Vegas Raiders,2022,17,590,399,4129,25,7.1,2219,2101,168,26.20%,36,5.60%,61,10.30%,27,124,19.30%,69
Los Angeles Rams,2022,17,556,375,3842,23,6.8,2101,1991,166,26.80%,35,5.70%,38,6.80%,38,111,17.90%,67
Baltimore Ravens,2022,17,593,394,3947,20,6.9,2497,1960,142,21.30%,42,6.30%,38,6.40%,48,128,19.20%,79
Los Angeles Chargers,2022,17,505,310,3406,24,9,2292,1676,177,31.10%,35,6.10%,38,7.50%,40,113,19.80%,65
Seattle Seahawks,2022,17,547,343,3595,23,8.3,1937,2286,95,15.20%,34,5.40%,51,9.30%,45,130,20.80%,77
San Francisco 49ers,2022,17,593,389,3789,20,7.3,2541,2084,143,21.60%,39,5.90%,69,11.60%,44,152,22.90%,64
Tampa Bay Buccaneers,2022,17,570,364,3461,29,8.2,2182,1888,182,28.30%,38,5.90%,58,10.20%,45,141,21.90%,68
Washington Commanders,2022,17,514,308,3252,26,8.4,1995,1535,133,22.40%,25,4.20%,69,13.40%,43,137,23.10%,49
Atlanta Falcons,2021,17,577,391,3952,31,7.3,2143,1905,154,24.50%,48,7.60%,39,6.80%,18,105,16.70%,120
Buffalo Bills,2021,17,530,297,2771,12,7,1724,1916,170,28.10%,93,15.40%,51,9.60%,42,186,30.80%,118
Carolina Panthers,2021,17,515,337,3266,26,7.8,1957,1602,192,33.70%,62,10.90%,48,9.30%,39,149,26.10%,106
Chicago Bears,2021,17,477,314,3257,31,8,1934,1685,123,22.60%,46,8.40%,31,6.50%,49,126,23.10%,106
Cincinnati Bengals,2021,17,626,420,4222,26,8.1,3118,2455,173,25.00%,75,10.80%,53,8.50%,42,170,24.50%,108
Cleveland Browns,2021,17,576,367,3439,29,7.4,1800,1912,141,22.10%,59,9.30%,53,9.20%,43,155,24.30%,118
Indianapolis Colts,2021,17,597,390,3980,32,7.7,2323,1848,134,20.20%,37,5.60%,50,8.40%,33,120,18.10%,90
Arizona Cardinals,2021,17,561,367,3645,30,7.4,2317,1784,220,35.20%,61,9.80%,60,10.70%,41,162,25.90%,110
Dallas Cowboys,2021,17,612,364,4049,24,8,2131,2364,198,29.10%,79,11.60%,68,11.10%,41,188,27.60%,106
Denver Broncos,2021,17,562,341,3652,22,8.3,1994,1907,160,25.30%,83,13.10%,45,8.00%,36,164,25.90%,84
Detroit Lions,2021,17,544,359,4160,31,8.7,2458,1896,165,27.30%,65,10.70%,29,5.30%,30,124,20.50%,132
Green Bay Packers,2021,17,603,379,3724,31,8.4,2072,2059,152,22.20%,77,11.30%,51,8.50%,39,167,24.40%,87
Houston Texans,2021,17,546,363,4117,27,8.5,2597,1745,117,19.50%,53,8.80%,39,7.10%,32,124,20.70%,124
Jacksonville Jaguars,2021,17,543,377,3875,24,7.6,2247,1864,190,31.50%,65,10.80%,49,9.00%,32,146,24.20%,130
Kansas City Chiefs,2021,17,610,401,4273,27,7.4,2469,2793,226,33.50%,88,13.00%,59,9.70%,31,178,26.40%,93
Miami Dolphins,2021,17,608,373,3871,23,8,2262,1985,268,39.60%,68,10.00%,77,12.70%,48,193,28.50%,118
Minnesota Vikings,2021,17,626,401,4300,29,8.1,2441,2212,186,26.10%,91,12.70%,45,7.20%,51,187,26.20%,109
New Orleans Saints,2021,17,592,369,3821,20,8.6,2143,1988,148,22.00%,56,8.30%,64,10.80%,46,166,24.70%,108
New England Patriots,2021,17,538,319,3181,21,8.1,2042,1669,147,24.50%,75,12.50%,43,8.00%,36,154,25.60%,95
New York Giants,2021,17,611,402,3839,27,7.3,2120,1919,167,25.00%,59,8.80%,41,6.70%,34,134,20.10%,95
New York Jets,2021,17,587,401,4409,28,8.1,2431,2249,160,24.80%,55,8.50%,50,8.50%,33,138,21.40%,122
Tennessee Titans,2021,17,628,395,4169,24,7.7,2416,2341,150,21.30%,79,11.20%,47,7.50%,43,169,24.00%,94
Philadelphia Eagles,2021,17,589,409,3756,28,6.4,2193,2046,112,17.40%,75,11.60%,51,8.70%,29,155,24.00%,103
Pittsburgh Steelers,2021,17,563,355,3656,24,7.9,2310,2050,176,27.00%,71,10.90%,44,7.80%,55,170,26.10%,125
Las Vegas Raiders,2021,17,606,400,3789,29,8.5,2410,1801,83,12.30%,62,9.20%,68,11.20%,35,165,24.40%,109
Los Angeles Rams,2021,17,625,416,4109,17,7.6,2680,2758,239,33.80%,74,10.50%,37,5.90%,50,161,22.80%,119
Baltimore Ravens,2021,17,621,397,4742,31,8.4,2500,2467,209,31.10%,58,8.60%,62,10.00%,34,154,23.00%,115
Los Angeles Chargers,2021,17,559,357,3761,27,7.9,2060,1928,157,25.10%,68,10.90%,53,9.50%,35,156,25.00%,127
Seattle Seahawks,2021,17,658,443,4513,24,7,2174,2540,161,22.40%,75,10.40%,50,7.60%,34,159,22.10%,113
San Francisco 49ers,2021,17,545,372,3510,25,8.1,2539,2136,143,22.80%,51,8.10%,52,9.50%,48,151,24.10%,99
