Tm,Season,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Washington Commanders,2022,12.4,3.94,31.90%,1.47,0.71,48.00%,3.06,1.59,51.90%
New York Giants,2022,12.1,4.24,35.10%,1,0.65,64.70%,3.71,1.82,49.20%
Baltimore Ravens,2022,12.3,4.29,34.90%,1.41,0.88,62.50%,3.29,1.53,46.40%
Green Bay Packers,2022,11.4,4.29,37.60%,1.12,0.65,57.90%,3.18,1.71,53.70%
Denver Broncos,2022,12.9,4.41,34.10%,0.82,0.53,64.30%,2.76,1.41,51.10%
Tennessee Titans,2022,13.2,4.53,34.20%,1.53,1.12,73.10%,2.88,1.59,55.10%
Buffalo Bills,2022,13,4.88,37.50%,2.06,1.19,57.60%,3.06,1.38,44.90%
Los Angeles Chargers,2022,11.7,4.59,39.20%,0.88,0.35,40.00%,2.82,1.47,52.10%
Minnesota Vikings,2022,12.6,4.82,38.10%,1.71,0.65,37.90%,2.88,1.65,57.10%
Los Angeles Rams,2022,12.2,4.94,40.40%,1.18,0.76,65.00%,3.18,1.41,44.40%
Cincinnati Bengals,2022,13.3,5.25,39.60%,1.44,0.56,39.10%,3.13,1.63,52.00%
Indianapolis Colts,2022,13.2,5,37.90%,1.47,0.76,52.00%,3.12,2.12,67.90%
Kansas City Chiefs,2022,13.1,5,38.30%,2.06,1.18,57.10%,3.24,2.18,67.30%
San Francisco 49ers,2022,12.8,5,39.00%,1.47,0.59,40.00%,2.18,1.24,56.80%
Cleveland Browns,2022,12.6,5,39.50%,1.06,0.47,44.40%,3.41,1.88,55.20%
Pittsburgh Steelers,2022,12.7,5,39.40%,1.24,0.76,61.90%,2.76,1.53,55.30%
Houston Texans,2022,13,5.06,38.90%,1.24,0.76,61.90%,3.24,1.82,56.40%
Las Vegas Raiders,2022,12.1,5.06,41.70%,1.18,0.65,55.00%,3.18,2.06,64.80%
Philadelphia Eagles,2022,13.1,5.06,38.60%,1.47,0.88,60.00%,3.24,1.71,52.70%
Arizona Cardinals,2022,11.9,5.12,42.90%,0.94,0.47,50.00%,3.88,2.53,65.20%
Tampa Bay Buccaneers,2022,13.9,5.12,36.90%,1.41,0.82,58.30%,2.82,1.76,62.50%
Dallas Cowboys,2022,13.6,5.12,37.70%,1.29,0.71,54.50%,2.94,1.53,52.00%
Detroit Lions,2022,12,5.41,45.10%,1.59,0.88,55.60%,3.41,2.18,63.80%
New York Jets,2022,14.4,5.47,38.10%,1.53,0.65,42.30%,2.71,1.29,47.80%
Carolina Panthers,2022,13.6,5.59,41.10%,1.06,0.47,44.40%,3.35,1.88,56.10%
Jacksonville Jaguars,2022,12.9,5.59,43.20%,1.82,0.59,32.30%,3.06,1.82,59.60%
Seattle Seahawks,2022,13.4,5.65,42.30%,1.65,0.65,39.30%,3.06,1.82,59.60%
New England Patriots,2022,14.2,5.71,40.20%,1.59,0.59,37.00%,2.94,1.71,58.00%
New Orleans Saints,2022,13.7,5.71,41.60%,1.12,0.47,42.10%,2.59,1.29,50.00%
Miami Dolphins,2022,13.7,5.71,41.60%,1.82,0.88,48.40%,3.47,2.06,59.30%
Chicago Bears,2022,12,5.88,49.00%,0.88,0.35,40.00%,3.65,2.35,64.50%
Atlanta Falcons,2022,12.9,5.94,45.90%,1,0.41,41.20%,3.53,1.94,55.00%
Buffalo Bills,2021,12.6,3.88,30.80%,2.06,0.94,45.70%,2.65,1.35,51.10%
Baltimore Ravens,2021,11.8,4.12,34.80%,1.06,0.65,61.10%,2.94,1.59,54.00%
Dallas Cowboys,2021,13.1,4.47,34.10%,1.53,0.94,61.50%,2.76,1.65,59.60%
Tennessee Titans,2021,12.4,4.53,36.70%,1.41,0.82,58.30%,3.41,1.76,51.70%
New England Patriots,2021,12.4,4.53,36.50%,1.88,1,53.10%,2.82,1.35,47.90%
